,city,state,2010 Avg Price,2013 Avg Price,2014 Avg Price,2015 Avg Price,2016 Avg Price,2017 Avg Price,2018 Avg Price,2019 Avg Price
253,Denton,Texas,,,,187485.71,202925.0,221650.0,236391.67,247781.82
254,Gainesville,Georgia,119541.67,116591.67,136833.33,154783.33,162466.67,181325.0,195291.67,214000.0
255,Springfield,Illinois,112275.0,104150.0,116325.0,107466.67,108375.0,112100.0,115283.33,117972.73
256,Allentown,Pennsylvania,116891.67,98458.33,98283.33,104250.0,111091.67,119316.67,132358.33,138727.27
257,Lake Charles,Louisiana,,145133.33,154000.0,156991.67,177891.67,187900.0,192100.0,180481.82
258,Frederick,Maryland,201542.86,234941.67,237083.33,242691.67,247108.33,257841.67,271941.67,280227.27
259,Hartford,Connecticut,,,,,,97116.67,113283.33,137310.0
260,Murrieta,California,239791.67,299875.0,335775.0,350550.0,372466.67,391266.67,422808.33,430645.45
261,Temecula,California,265341.67,338008.33,370508.33,388916.67,406641.67,421816.67,459341.67,466172.73
262,Hemet,California,,151758.33,175441.67,193066.67,214041.67,237033.33,258708.33,268609.09
263,East Los Angeles,California,207708.33,256800.0,300983.33,324758.33,367533.33,399058.33,436250.0,454945.45
264,Joliet,Illinois,114091.67,97425.0,97208.33,114250.0,119925.0,140533.33,152191.67,159481.82
265,Vallejo,California,154608.33,187933.33,237241.67,273475.0,308883.33,354533.33,387366.67,399045.45
266,Santa Clara,California,,,,869228.57,923666.67,1050458.33,1275733.33,1207918.18
267,Concord,North Carolina,133141.67,137000.0,143716.67,155183.33,165200.0,174808.33,189825.0,213663.64
268,Town Of Amherst,New York,168400.0,176616.67,180766.67,182650.0,187041.67,199541.67,216516.67,222272.73
269,Athens,Georgia,,,,140860.0,154108.33,159491.67,168591.67,179490.91
270,Falls Church,Virginia,372975.0,461700.0,457700.0,484541.67,479183.33,489250.0,491616.67,543509.09
271,Norman,Oklahoma,129208.33,135991.67,138775.0,146266.67,147758.33,150600.0,153983.33,164945.45
272,Wilmington,Delaware,,,,,182260.0,188708.33,169641.67,177854.55
273,Nampa,Idaho,96325.0,120025.0,127066.67,136583.33,153691.67,168508.33,196975.0,228372.73
274,Berkeley,California,604816.67,690691.67,754416.67,866400.0,956016.67,1059591.67,1137675.0,1190918.18
275,Westminster,Colorado,183141.67,210458.33,227808.33,260366.67,295208.33,326533.33,356425.0,367590.91
276,Rochester,Minnesota,,,,,,197871.43,210200.0,227618.18
277,Clovis,California,220125.0,242875.0,255233.33,267866.67,286258.33,308266.67,329416.67,329545.45
278,Summerville,South Carolina,,,,173085.71,183191.67,197266.67,215891.67,226227.27
279,Vista,California,293800.0,368916.67,402916.67,427483.33,446466.67,488400.0,525091.67,531963.64
280,Broken Arrow,Oklahoma,136641.67,141191.67,142858.33,148525.0,147025.0,156791.67,161000.0,169609.09
281,Richmond,California,159108.33,237308.33,306950.0,358350.0,395916.67,424958.33,506350.0,529654.55
282,Arvada,Colorado,206325.0,231425.0,261333.33,295666.67,339600.0,371758.33,401775.0,419590.91
283,Charlottesville,Virginia,260216.67,272291.67,273666.67,262300.0,287775.0,301475.0,318816.67,324118.18
284,Independence,Missouri,73350.0,69333.33,79775.0,83466.67,94258.33,107141.67,116958.33,126700.0
285,Tuscaloosa,Alabama,127158.33,138658.33,160241.67,178916.67,153550.0,149150.0,158958.33,170672.73
286,Provo,Utah,,,189985.71,198350.0,216316.67,234208.33,259008.33,278836.36
287,New Port Richey,Florida,99325.0,98533.33,95000.0,108075.0,129808.33,142500.0,160016.67,165227.27
288,Spartanburg,South Carolina,,72733.33,72558.33,93558.33,97016.67,106725.0,114458.33,114427.27
289,Bellingham,Washington,272016.67,267191.67,270283.33,284208.33,315183.33,343475.0,385091.67,411209.09
290,Melbourne,Florida,,120400.0,135700.0,153225.0,170783.33,187916.67,200766.67,212563.64
291,Costa Mesa,California,482850.0,560041.67,625900.0,651450.0,696958.33,724025.0,790166.67,800372.73
292,Sparks,Nevada,152700.0,176441.67,206716.67,243241.67,267458.33,290675.0,328425.0,339090.91
293,Bend,Oregon,193466.67,242500.0,267750.0,298391.67,327541.67,368283.33,398608.33,418736.36
294,El Monte,California,310375.0,333858.33,377591.67,396300.0,418500.0,462900.0,511658.33,480881.82
295,Miami Gardens,Florida,75883.33,89358.33,112200.0,132108.33,157316.67,194225.0,214341.67,228263.64
296,Chico,California,238066.67,247266.67,260350.0,273050.0,290975.0,308183.33,332100.0,382763.64
297,Downey,California,369316.67,382808.33,424116.67,465125.0,491475.0,511258.33,555650.0,589790.91
298,Tracy,California,244200.0,314025.0,365116.67,389133.33,421116.67,450641.67,491916.67,506572.73
